"Be kind"
"Be the change you wish to see in the world"
"Live each day as if it were your last"
"The grass is green where you water it"
"Breathe in courage, breathe out fear"
"This too shall pass"
"I am what I think about"
"Tomorrow is another day"
"Progress, not perfection"
"Honesty is the best policy"
"We are all a work in progress"
"Be intentional in all that you do"
"Eyes on the prize"
"You miss 100 percent of the shots you don't take"
"Fake it 'till you make it"
"Remember your why"
"Life begins at the end of the comfort zone"
"There is always something to be grateful for"
"Vision without action is a daydream"
"There is no time like the present"
"Don't sweat the small stuff"
"It doesn't matter how slowly you go, just don't stop"
"Be a rainbow in someone else's cloud"
"Let go of who you think you should be"
"When life gives you lemons, make lemonade"
